speech ratio: 0.79, disruption ratio: 0.21
0.0, speech, 1.0
0.75, speech, 1.0
1.51, speech, 1.0
2.26, speech, 1.0
3.01, speech, 1.0
3.76, speech, 0.9599999785423279
4.52, speech, 0.9800000190734863
5.27, speech, 1.0
6.02, speech, 1.0
6.78, speech, 0.9700000286102295
7.53, speech, 1.0
8.28, coughing, 1.0
9.03, coughing, 0.9700000286102295
9.79, speech, 1.0
10.54, speech, 1.0
11.29, speech, 1.0
12.05, speech, 1.0
12.8, speech, 1.0
13.55, speech, 1.0
14.3, speech, 0.9200000166893005
15.06, speech, 1.0
15.81, sneezing, 0.9800000190734863
16.56, speech, 0.8700000047683716
17.32, silence, 0.9300000071525574
18.07, speech, 1.0
18.82, speech, 1.0
19.58, silence, 0.8600000143051147
20.33, speech, 1.0
21.08, speech, 1.0
21.83, silence, 0.6899999976158142
22.59, speech, 1.0
23.34, speech, 1.0
24.09, speech, 1.0
24.85, speech, 0.9800000190734863
25.6, sneezing, 0.9900000095367432
26.35, speech, 1.0
27.1, speech, 1.0
27.86, speech, 1.0
28.61, speech, 0.6800000071525574
29.36, speech, 1.0
30.12, speech, 1.0
30.87, speech, 0.9200000166893005
31.62, speech, 1.0
32.37, speech, 1.0
33.13, speech, 1.0
33.88, speech, 1.0
34.63, speech, 1.0
35.39, speech, 1.0
36.14, speech, 1.0
36.89, coughing, 0.8100000023841858
37.64, coughing, 0.5299999713897705
38.4, coughing, 1.0
39.15, speech, 1.0
39.9, speech, 1.0
40.66, coughing, 0.4300000071525574
41.41, speech, 1.0
42.16, speech, 1.0
42.91, speech, 1.0
43.67, speech, 1.0
44.42, speech, 1.0
45.17, speech, 1.0
45.93, coughing, 0.9900000095367432
46.68, speech, 1.0
47.43, speech, 1.0
48.18, speech, 1.0
48.94, speech, 0.9599999785423279
49.69, speech, 1.0
50.44, silence, 0.7400000095367432
51.2, speech, 1.0
51.95, speech, 0.800000011920929
52.7, speech, 1.0
53.46, speech, 1.0
54.21, speech, 1.0
54.96, speech, 0.800000011920929
55.71, speech, 0.44999998807907104
56.47, speech, 1.0
57.22, speech, 1.0
57.97, speech, 1.0
58.73, speech, 1.0
59.48, coughing, 0.9700000286102295
60.23, speech, 1.0
60.98, speech, 1.0
61.74, speech, 1.0
62.49, speech, 1.0
63.24, speech, 0.6100000143051147
64.0, speech, 0.8799999952316284
64.75, speech, 1.0
65.5, speech, 1.0
66.25, sneezing, 0.75
67.01, coughing, 0.41999998688697815
67.76, speech, 1.0
68.51, sneezing, 0.6299999952316284
69.27, speech, 1.0
70.02, speech, 1.0
70.77, coughing, 1.0
71.52, speech, 1.0
72.28, speech, 1.0
73.03, speech, 1.0
73.78, speech, 1.0
74.54, speech, 0.4699999988079071
75.29, speech, 1.0
76.04, speech, 0.9800000190734863
76.79, coughing, 0.9599999785423279
77.55, silence, 0.9800000190734863
78.3, silence, 0.9800000190734863
79.05, silence, 0.9800000190734863
79.81, coughing, 0.9399999976158142
80.56, speech, 1.0
81.31, speech, 1.0
82.06, speech, 0.9800000190734863
82.82, speech, 0.9900000095367432
83.57, speech, 1.0
84.32, speech, 1.0
85.08, speech, 1.0
85.83, speech, 1.0
86.58, speech, 1.0
87.34, coughing, 0.949999988079071
88.09, speech, 0.800000011920929
88.84, speech, 0.9300000071525574
89.59, coughing, 0.5899999737739563
90.35, speech, 0.9900000095367432
91.1, speech, 1.0
91.85, speech, 0.8399999737739563
92.61, speech, 0.9900000095367432
93.36, speech, 0.9900000095367432
94.11, speech, 0.8600000143051147
94.86, coughing, 0.6100000143051147
95.62, speech, 1.0
96.37, speech, 1.0
97.12, speech, 0.9900000095367432
97.88, coughing, 0.9700000286102295
98.63, speech, 1.0
99.38, coughing, 0.949999988079071
